,target,type,5_mean,5_std,10_mean,10_std,15_mean,15_std,20_mean,20_std,30_mean,30_std,40_mean,40_std,50_mean,50_std,100_mean,100_std
Torque3_Argumented,Torque3,Argumented,9.661221968732937,1.7205335621603994,7.781762563037273,0.9775994131881961,6.743717690783218,1.0116832110373606,6.24672858871058,1.1535575318135027,5.2945402532389085,1.2723828600549307,4.6806112539100955,1.2381379587685106,4.031480288096626,0.6521363237077791,nan,nan
Torque3_HTL-offset,Torque3,HTL-offset,8.960671518191734,2.9812167153308784,7.481790167494213,2.306399745536861,6.870959243669198,1.6490760151597776,6.42371224874488,1.2092467572055587,5.596231763414115,0.8436127612627082,5.22996458545087,0.9928768789090738,4.847420594763685,1.0075589352702605,nan,nan
Torque3_HTL-scale,Torque3,HTL-scale,9.059730565100846,2.935112271639748,7.590657737586275,2.285580201619457,6.912946126082298,1.4226510424092818,6.689910594391618,1.4077702159926044,5.654387676714333,0.9639575608674874,5.411548568481047,1.2218837119482702,4.9832177026932545,0.8882168166817316,nan,nan
Torque3_Proposed method,Torque3,Proposed method,8.641644376730547,1.33456269446971,7.21947135610654,1.4108627219356322,6.666799212094334,1.2736583204463476,6.065541693302937,1.0045784118045278,5.24560882852637,1.1719138657197452,4.8913058980224475,1.1500582998127602,4.27796190927142,0.8286755405921056,nan,nan
Torque3_Proposed method 2,Torque3,Proposed method 2,9.808070704652621,1.0285861324330625,8.284539451243766,1.2386929814812284,7.2867588788714555,1.016752040941757,6.910279598259637,1.1400055533062765,6.272468872268118,1.4163268492530785,6.2055305444171065,1.9087109796419548,5.090230282973083,0.8490165320996376,nan,nan
Torque3_Proposed method 3,Torque3,Proposed method 3,8.936972444817924,1.3994182479821926,7.33342824503506,1.2012351601602977,6.495283256882873,1.1353127409818213,5.969260728504887,0.9176249564322747,5.175243049893195,1.001677481434501,4.759305871030829,0.9576112519971037,4.21711855141713,0.7449177905852783,nan,nan
Torque4_No transfer,Torque4,No transfer,14.225342078826909,2.298980090747109,11.14679130714982,2.3913479159297024,9.486958045572754,2.1803040810328187,7.796744709865818,0.9776922057812725,6.914379678896933,0.7776058441723877,6.055737494471545,0.6304708464390232,5.474749915372222,0.653308280414086,nan,nan
Torque4_Only source,Torque4,Only source,12.332900534759474,3.595463991994254,9.228751893398208,2.4340590040531147,7.813817874562457,1.738599057179279,6.826266894553628,1.4484092254955825,6.208076654719976,1.0194633305756615,6.185685562076624,1.3737941363483304,5.217079298098857,0.6290493733453516,nan,nan
Torque4_Argumented,Torque4,Argumented,13.789784707984126,2.8268236525801784,9.687103604872497,1.638061119377892,8.516563301730987,1.801495737016304,7.06126687605727,1.0289662739011989,5.97134927686785,0.904713259914984,5.156988029923743,0.7402912767249401,4.689862371534037,0.698120094973105,nan,nan
Torque4_HTL-offset,Torque4,HTL-offset,12.332922602400176,3.61733616384141,9.076297337233726,2.352633628333094,7.673424716563332,1.6759961649438067,6.7319307200975675,1.3969179110553185,6.138271331784184,1.0113676347687246,6.156609348027335,1.3816223153222613,5.118652081610384,0.5821534826756938,nan,nan
Torque4_HTL-scale,Torque4,HTL-scale,12.33703366023668,3.6172864689910877,9.10382527324212,2.3628330335424925,7.716362164348675,1.6183681293156378,6.738255730715553,1.3675562795321092,6.12140326396783,1.0388157244930998,6.157277103803008,1.3829486834786229,5.14280589352804,0.5244250931960026,nan,nan
Torque4_Proposed method,Torque4,Proposed method,11.959399342846806,3.112227739107996,8.950875940500083,2.049016933677777,7.89384455488389,1.9222166133714762,6.832660658305466,1.750239185199725,5.661067044998404,1.0747047136520909,5.2706198556970865,1.1210863464643959,4.866819135524488,1.0163375868756999,nan,nan
Torque4_Proposed method 2,Torque4,Proposed method 2,14.754238198240127,2.2712169976796455,11.070439729376776,2.7613089412576066,10.060508133459896,2.3367941478771495,8.971405537003767,1.826594399993176,8.413509425244127,2.224394030890639,7.014708885077068,1.8172839246147563,5.592921814169739,1.0309714971949928,nan,nan
